city_id,avg_aqi_2022,asthma_cost_fraction_2022,avg_aqi_2019,asthma_cost_fraction_2019,change_in_aqi,change_in_cost_fraction
"Aberdeen, SD",25.834285714285713,0.03916401266493064,29.508196721311474,0.07188771728773118,-3.6739110070257617,-0.03272370462280053
"Aberdeen, WA",25.136986301369863,0.097894067838008,28.985795454545453,0.10687778795587734,-3.8488091531755906,-0.00898372011786934
"Adrian, MI",44.97260273972603,0.14757305626277678,45.237430167597765,0.12265164626949594,-0.26482742787173663,0.024921409993280838
"Akron, OH",46.45303867403315,0.08485391275770772,48.48626373626374,0.0824158772056736,-2.033225062230585,0.002438035552034118
"Albany, GA",49.57541899441341,0.07495068271592382,49.67134831460674,0.05472720170839852,-0.09592932019332778,0.020223481007525308
"Albany, NY",41.772602739726025,0.0394952880925337,42.342465753424655,0.04312025881606273,-0.5698630136986296,-0.0036249707235290335
"Albany, OR",38.46027397260274,0.1265725194283233,41.087671232876716,0.10144516058448486,-2.6273972602739732,0.025127358843838432
"Albuquerque, NM",70.73424657534247,0.07229555384395604,57.66301369863014,0.06990699337584837,13.07123287671233,0.0023885604681076755
"Alexandria, LA",39.54621848739496,0.0640059232738591,38.865546218487395,0.05706098201935196,0.6806722689075642,0.006944941254507134
"Alexandria, VA",52.30958904109589,0.05024794879020644,55.202739726027396,0.053869795888021786,-2.8931506849315056,-0.0036218470978153436
"Allen, TX",48.8027397260274,0.1484656877162986,49.87671232876713,0.05010724986795252,-1.0739726027397296,0.09835843784834607
"Allentown, PA",48.73424657534247,0.05713697005586506,48.23561643835617,0.05201859675829621,0.4986301369863,0.005118373297568847
"Altoona, PA",44.192837465564736,0.08226833770345494,47.14772727272727,0.07687372287424446,-2.9548898071625374,0.005394614829210484
"Amarillo, TX",49.36164383561644,0.06888226358103436,44.69315068493151,0.06595747842680967,4.668493150684931,0.0029247851542246878
"Americus, GA",36.10504201680672,0.05298524978704474,39.45378151260504,0.041354427098319664,-3.34873949579832,0.011630822688725076
"Anacortes, WA",36.082191780821915,0.07063016014202701,30.684931506849313,0.0955503194635328,5.397260273972602,-0.02492015932150579
"Anaheim, CA",85.84931506849315,0.03943436128103784,84.7095890410959,0.051552630579193764,1.1397260273972591,-0.012118269298155925
"Anchorage, AK",32.16712328767123,0.05390136023993659,43.26301369863014,0.05505188850976747,-11.095890410958908,-0.0011505282698308847
"Anderson, SC",50.1972602739726,0.08761554623905954,45.153424657534245,0.08832682287243718,5.043835616438358,-7.112766333776388e-4
"Ann Arbor, MI",48.00547945205479,0.02349547532196281,45.202739726027396,0.0230340618366168,2.802739726027397,4.6141348534600723e-4
"Appleton, WI",43.52054794520548,0.09980589617271585,42.26301369863014,0.10243271793129591,1.2575342465753394,-0.0026268217585800613
"Arcata, CA",26.92054794520548,0.06961850368827684,30.07162534435262,0.11232948271773674,-3.1510773991471375,-0.0427109790294599
"Ardmore, OK",47.85205479452055,0.11686263166915156,45.83835616438356,0.10641483650337774,2.013698630136986,0.010447795165773821
"Arkadelphia, AR",34.61432506887052,0.08932824762267093,33.03661971830986,0.0676491822594919,1.577705350560663,0.021679065363179026
"Arlington, TX",66.52602739726028,0.0593559195354801,61.52328767123288,0.06370729162505379,5.0027397260274,-0.004351372089573688
"Artesia, NM",57.37534246575343,0.1296835163112659,55.13972602739726,0.12858611645573695,2.2356164383561676,0.0010973998555289521
"Asheville, NC",41.54794520547945,0.05583306579314977,42.43835616438356,0.0525248324698174,-0.8904109589041127,0.0033082333233323685
"Ashland, KY",46.32602739726027,0.11645999743150684,45.24109589041096,0.09134452329485132,1.0849315068493084,0.02511547413665552
"Ashtabula, OH",41.16317991631799,0.217631941847598,40.885714285714286,0.21210705272027286,0.2774656306037073,0.005524889127325128
"Athens, GA",47.889502762430936,0.05870422341039221,48.78082191780822,0.06015926234240993,-0.8913191553772819,-0.0014550389320177187
"Athens, OH",29.563025210084035,0.15067829919331474,34.43333333333333,0.09083387734865978,-4.870308123249295,0.059844421844654966
"Athens, TN",39.91316526610644,0.06381436024891943,38.1624649859944,0.07182000907914012,1.7507002801120422,-0.008005648830220688
"Atlanta, GA",55.50958904109589,0.02842964414891621,61.342465753424655,0.034225567882555256,-5.832876712328762,-0.005795923733639047
"Atlantic City, NJ",37.12328767123287,0.028867664578022,42.26575342465753,0.04225338047823194,-5.142465753424659,-0.01338571590020994
"Auburn, ME",33.24022346368715,0.10295580088570121,34.0775623268698,0.1231975341378455,-0.8373388631826515,-0.02024173325214429
"Augusta, GA",49.23561643835617,0.07580282346526965,51.6958904109589,0.06097393647964255,-2.460273972602735,0.0148288869856271
"Augusta, ME",30.980295566502463,0.10778413717318104,26.030470914127424,0.09585179484989903,4.949824652375039,0.01193234232328201
"Aurora, CO",67.01643835616439,0.03259862974592459,69.08219178082192,0.03575356051399548,-2.0657534246575295,-0.003154930768070892
"Austin, TX",53.15890410958904,0.05368804525749755,50.895890410958906,0.04502542107200823,2.2630136986301324,0.008662624185489319
"Bakersfield, CA",87.63287671232877,0.08327979945324394,79.07123287671233,0.08440648513504685,8.561643835616437,-0.001126685681802908
"Baltimore, MD",50.83561643835616,0.03513283123460421,54.62191780821918,0.046003168670513156,-3.7863013698630184,-0.010870337435908949
"Bangor, ME",33.41274238227147,0.12441577982459057,32.69613259668508,0.13274732648401863,0.7166097855863853,-0.008331546659428063
"Baraboo, WI",41.37222222222222,0.1523941076621391,40.95616438356164,0.07883043386489927,0.4160578386605778,0.07356367379723983
