drug_city_2022,Prscrbr_State_Abrvtn,POPESTIMATE2022,total_prescriptions_2022,avg_aqi_2022,all_prescriptions_2022,asthma_fraction_2022,rate_per_1000_2022,total_cost_all_2022,total_cost_asthma_2022,asthma_cost_fraction_2022
Asheville,NC,414360,69898,41.54794520547945,1749233,0.039959227844432385,168.689062650835,147306345.32,8224564.87,0.055833065793149776
Ashland,KY,369936,35821,46.326027397260276,677026,0.052909341738722,96.83026253189742,48211613.72,5614724.41,0.11645999743150685
Ashtabula,OH,96987,8205,41.16317991631799,119373,0.0687341358598678,84.5989668718488,5816242.64,1265800.18,0.21763194184759801
Athens,GA,220609,35911,47.889502762430936,846059,0.04244503042931994,162.78121019541362,104464928.82,6132532.52,0.05870422341039221
Athens,OH,61029,12350,29.563025210084035,263555,0.046859289332397414,202.36281112258106,11715782.03,1765314.11,0.15067829919331474
Athens,TN,67945,5735,39.91316526610644,147668,0.03883712110951594,84.40650526160866,5842070.32,372807.98,0.06381436024891943
Atlanta,GA,4874423,130108,55.50958904109589,3703683,0.035129356373102126,26.691979748167117,490701061.08,13950456.55,0.028429644148916217
Atlantic City,NJ,371526,4079,37.12328767123287,81037,0.050335032145809935,10.979043189440308,4665318.86,134676.86,0.028867664578022
Auburn,ME,113454,5625,33.24022346368715,112377,0.0500547265009744,49.57956528637157,4091908.2399999998,421285.69,0.10295580088570119
Augusta,GA,624645,58147,49.23561643835617,1416031,0.041063366550591056,93.0880740260468,121174897.98,9185399.4,0.07580282346526965
Augusta,ME,127143,10032,30.980295566502463,240428,0.04172558936563129,78.90328213114367,21166143.830000002,2281374.55,0.10778413717318104
Aurora,CO,2991705,37307,67.01643835616439,1191216,0.03131841748263959,12.47014662207671,130354264.37,4249370.4,0.03259862974592459
Austin,TX,2430375,112831,53.15890410958904,2841812,0.039703893149863535,46.425345882837014,265664369.63,14263000.7,0.053688045257497555
Bakersfield,CA,917293,95297,87.63287671232877,2102353,0.045328734042285004,103.88937885713726,129026733.26,10745320.47,0.08327979945324394
Baltimore,MD,2846006,142713,50.83561643835616,3457878,0.04127184359887769,50.145010235396555,394996489.39,13877345,0.03513283123460421
Bangor,ME,154817,27109,33.41274238227147,542189,0.04999917003111461,175.10350930453376,37121114.03,4618452.35,0.12441577982459055
Baraboo,WI,65916,4838,41.37222222222222,79118,0.061149169594782476,73.3964439589781,4093007.66,623750.25,0.1523941076621391
Baton Rouge,LA,873586,106229,56.45479452054794,2788385,0.03809696293732752,121.60107877186677,220644056.7,13239965.42,0.060005991632042004
Bay City,MI,102754,22564,33.240112994350284,476955,0.047308446289482234,219.59242462580534,25220004.1,2804591.89,0.11120505289687879
Beatrice,NE,21542,3023,25.323741007194243,77094,0.039211871222144395,140.33051712932877,2440212.34,217043.38,0.0889444645624569
Beaumont,TX,395039,46801,50.23561643835617,1066876,0.04386732853677466,118.47184708345252,76072570.85,7649519.36,0.10055555208043822
Beaver Dam,WI,88539,4800,43.63013698630137,127893,0.0375313738828552,54.2133974858537,6413082.9,346863.36,0.05408683552180496
Bellevue,WA,2271238,18501,60.43013698630137,628875,0.029419200954084675,8.145777765254016,39930095.88,3116091.8,0.07803867562363588
Bellingham,WA,230701,20555,36.56851311953353,609969,0.033698433854835244,89.09800997828359,42726942.58,1903301.2,0.04454569143196578
Beloit,WI,163959,7162,39.693069306930695,211874,0.03380310939520659,43.68165212034716,14825177.11,753485.47,0.05082471962454687
Bemidji,MN,46440,7710,25.30057803468208,207937,0.03707853821109278,166.02067183462532,11489096.93,828764.38,0.07213485838351266
Bend,OR,258203,25007,33.06575342465754,666850,0.037500187448451676,96.8501527867608,76230815.63,4222539.53,0.05539150401452946
Bennington,VT,37367,4769,37.556164383561644,97334,0.04899623975178252,127.62598014290685,8810128.21,672533.7,0.07633642598261346
Billings,MT,190252,27139,33.93972602739726,746093,0.03637482190558013,142.64764627967116,57306657.68,3211027.6,0.056032365697025244
Biloxi,MS,421071,8799,48.64931506849315,247394,0.0355667477788467,20.89671338087876,8452015.38,638167.75,0.0755048022640962
Birmingham,AL,1181300,161454,54.3013698630137,3975428,0.040612985570358716,136.67484974180988,391015909.71,21897267.82,0.05600096383863327
Bishop,CA,18745,2018,75.7041095890411,42313,0.04769219861508284,107.65537476660442,2369318.35,173244.66,0.07312004315502811
Bismarck,ND,136035,24277,45.69315068493151,637608,0.038075118254476105,178.46142536847134,40126451.93,3296951.67,0.08216404669297657
Blacksburg,VA,181397,6946,38.684357541899445,199880,0.034750850510306186,38.291702729372595,10926458.22,889086.32,0.08137003794812478
Bloomington,IL,171571,19754,48.14246575342466,432216,0.045703999851925886,115.13600783349168,31879720.93,2920220.3,0.09160118767702148
Bloomington,MN,3696911,7065,49.35342465753425,275915,0.025605711904028414,1.9110549320770773,13687335.74,599166.79,0.04377526798359956
Boise,ID,814129,45655,59.61643835616438,1076649,0.04240472057281435,56.078336479845326,66864644.69,5156848.43,0.07712369450115746
Bossier City,LA,385316,14110,50.9013698630137,356187,0.0396140229710798,36.61929429351493,16629684.95,2294271.24,0.13796239958232043
Boston,MA,4931775,143467,50.0027397260274,3753819,0.03821894449359439,29.090337657334327,749326319.86,24082561.080000002,0.03213894993639014
Boulder,CO,328039,12190,52.084931506849315,342983,0.03554112011382488,37.16021570605934,36625998.01,2398972.03,0.06549915798458265
Bowling Green,KY,186420,34762,45.249315068493154,854203,0.04069524457301133,186.47140864714086,60593521.1,4375089.22,0.07220391125281543
Bozeman,MT,124733,7088,36.43561643835616,212752,0.03331578551552982,56.82537900956443,16147458.27,1454591.33,0.09008175191896627
Bradenton,FL,894767,58291,46.074380165289256,1444584,0.04035140912539527,65.14656888329587,91991243.6,7235419.07,0.0786533455451623
Brainerd,MN,99149,9650,38.83287671232877,195731,0.049302358849645685,97.32826352257713,10792337.32,1328208.95,0.12306962899858656
Branson,MO,56736,16223,28.1864406779661,261786,0.06197046442514115,285.9383812746757,14937607.84,2358448.79,0.15788664525550966
Bremerton,WA,277876,9934,31.832869080779943,203851,0.04873167166214539,35.749758885258174,13849814.64,1391712.34,0.10048599033091464
Bridgeport,CT,953585,20950,51.31780821917808,393561,0.053231900518598135,21.969724775452637,28488821.669999998,1871799.8499999999,0.06570295787175673
Bristol,TN,311033,20883,39.129120879120876,530501,0.03936467603265592,67.14078570441079,25478708.23,1746205.4,0.06853586862555001
Brookings,SD,35442,3213,38.15659340659341,99378,0.03233109943850752,90.65515490096496,3482425.88,268327.41,0.07705186535082836
Brownsville,TX,425819,18555,48.88767123287671,661607,0.02804535018523081,43.57485222594577,53171990.85,1113797.63,0.02094707405524952
Brunswick,GA,114588,21376,45.825842696629216,479937,0.044539179100590284,186.54658428456733,44564565.28,4202280.41,0.09429645243024348
Bryan,TX,278389,10695,40.492753623188406,345093,0.030991645730281403,38.41746620735733,31898856.88,958889.77,0.03006031763480548
Buffalo,NY,1159211,76522,46.912328767123284,1619777,0.047242305576631845,66.01214101660526,152803114.4,9124000.95,0.05971083106405584
Burlington,VT,228290,14502,41.29041095890411,351647,0.04124022101709954,63.52446449691182,66435387.95,2828197.06,0.042570641148788536
Butte,MT,35876,6243,35.175342465753424,143738,0.04343319094463538,174.01605530159438,4866001.41,740854.0700000001,0.1522511005602031
Cadillac,MI,49290,8313,47.868493150684934,185604,0.0447889054115213,168.65489957395008,9278882.12,782358.97,0.08431608030817403
Cambridge,MD,32599,4017,43.99452054794521,115541,0.03476687928960283,123.224638792601,5713752.83,360897.18,0.06316289674014477
Camden,NJ,525395,27816,58.41095890410959,464539,0.059878718471430815,52.943023820173394,44336433.17,2242052.29,0.05056907219855187
Canton,OH,399685,49644,48.85753424657534,1267835,0.03915651484617478,124.20781365325193,79790953.33,5728869.07,0.07179847878626669
